OBJECTID,FRAREGION,RROWNER1,RROWNER2,TRKRGHTS1,TRKRGHTS2,STRACNET,SIGSYS,PASSNGR,RAIL_TYPE,ABAND_YR,SOURCE,SEGMENT_MILES,FULL_NAME,FULLNAME_ABBR,SHAPE.LEN
6838,8,CPRS, , , , ,OCS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.15892911,Canadian Pacific Railway,CPRS,0.02189092400053
6839,8,CPRS, , , , ,Unk, ,A,7777,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.10165913,Canadian Pacific Railway,CPRS,0.00217292470646689
6840,8,BNSF, ,YSVR, , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.44471944,Burlington Northen Santa Fe Railway,BNSF,0.00651916360842421
6841,8,BNSF, ,YSVR, , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.28881034,Burlington Northen Santa Fe Railway,BNSF,0.00419829502676504
6842,8,BNSF, , , , ,Unk, ,A,1983,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.08628976,Burlington Northen Santa Fe Railway,BNSF,0.268945403574829
6843,8,MHC, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,4.49483098,Mohall Central Railroad,MHC,0.0660016823876615
6844,8,NPR, ,CPRS, , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.08943234,Northern Plains Railroad,NPR,0.00190748122463588
6845,8,BNSF, ,AMTK, , ,ABS,A,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,5.08342617,Burlington Northen Santa Fe Railway,BNSF,0.105342254132162
6846,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.2314551,Burlington Northen Santa Fe Railway,BNSF,0.00476938134152147
6847,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,3.82012887,Burlington Northen Santa Fe Railway,BNSF,0.0731615188646786
6311,8,RRVW, , , , ,Unk, ,A,7777,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.29025646,Red River Valley and Western Railroad,RRVW,0.00518782804304863
6312,8,CPRS, , , , ,TWC, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.28933798,Canadian Pacific Railway,CPRS,0.00547111633997266
6313,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.43438636,Burlington Northen Santa Fe Railway,BNSF,0.00674382684097982
6314,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.33057779,Burlington Northen Santa Fe Railway,BNSF,0.00499973296320955
6315,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.33541675,Burlington Northen Santa Fe Railway,BNSF,0.00508831782273317
6316,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.33960148,Burlington Northen Santa Fe Railway,BNSF,0.00517094698652603
6317,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.34582919,Burlington Northen Santa Fe Railway,BNSF,0.00528415521897088
6318,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.23320374,Burlington Northen Santa Fe Railway,BNSF,0.00350396693468536
6319,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.21713169,Burlington Northen Santa Fe Railway,BNSF,0.0032574314345579
6477,8,RRVW, , , , ,Unk, ,A,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.26515769,Red River Valley and Western Railroad,RRVW,0.00477321815869958
6478,8,RRVW, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.49350162,Red River Valley and Western Railroad,RRVW,0.0103168030842643
6479,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.09433365,Burlington Northen Santa Fe Railway,BNSF,0.0019896800062495
6480,8,BNSF, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.08030486,Burlington Northen Santa Fe Railway,BNSF,0.00169439803998972
6481,8,RRVW, , , , ,Unk, ,A,1999,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,18.0151499,Red River Valley and Western Railroad,RRVW,0.350640075102143
6482,8,NPR, ,CPRS, , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,2.54508746,Northern Plains Railroad,NPR,0.0552634914618487
6483,8,BNSF, ,AMTK, ,S,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,2.01770408,Burlington Northen Santa Fe Railway,BNSF,0.0428120234424486
6484,8,RRVW, , , , ,Unk, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.02499089,Red River Valley and Western Railroad,RRVW,0.000523313873312823
6485,8,BNSF, , , , ,Unk, ,A,1992,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,4.82251871,Burlington Northen Santa Fe Railway,BNSF,0.0963921435914753
6486,8,SOO, , , , ,Unk, ,A,1991,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.44427739,Soo Line Railroad,SOO,0.00929997505361193
6487,8,CPRS, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.28337482,Canadian Pacific Railway,CPRS,0.00467998137065714
6502,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.94183455,Burlington Northen Santa Fe Railway,BNSF,0.0182748602955116
6503,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.14635026,Burlington Northen Santa Fe Railway,BNSF,0.00238824476978525
6504,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.47214622,Burlington Northen Santa Fe Railway,BNSF,0.00857356953122661
6505,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,7.88147194,Burlington Northen Santa Fe Railway,BNSF,0.155531845994648
6506,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.70399727,Burlington Northen Santa Fe Railway,BNSF,0.0145763247573781
6507,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.30846675,Burlington Northen Santa Fe Railway,BNSF,0.00531853779789892
6508,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.62452231,Burlington Northen Santa Fe Railway,BNSF,0.0277551106446103
